"HPC","Feature","PIP","p_value","q_value","risk"
"hpc_37","ATM","0.128","0.872","1","low"
"hpc_3","ATM","0.118","0.882","1","low"
"hpc_20","ATM","0.122","0.878","1","low"
"hpc_22","ATM","0.108","0.892","1","low"
"hpc_27","ATM","0.121","0.879","1","low"
"hpc_39","ATM","0.12","0.88","1","low"
"hpc_10","CDK1","0.11","0.89","1","low"
"hpc_14","CDK1","0.107","0.893","1","low"
"hpc_15","CDK1","0.105","0.895","1","low"
"hpc_8","ATM","0.115","0.885","1","low"
"hpc_41","ATM","0.105","0.895","1","low"
"hpc_16","GSK3B","0.068","0.932","1","low"
"hpc_44","ATM","0.122","0.878","1","low"
"hpc_37","CDK2","0.142","0.858","1","low"
"hpc_32","CDK2","0.167","0.833","1","low"
"hpc_41","CDK2","0.123","0.877","1","low"
"hpc_39","CDK2","0.141","0.859","1","low"
"hpc_31","CDK2","0.128","0.872","1","low"
"hpc_22","CDK2","0.131","0.869","1","low"
"hpc_21","CDK2","0.231","0.769","1","low"
"hpc_3","CDK2","0.117","0.883","1","low"
"hpc_27","CDK2","0.12","0.88","1","low"
"hpc_44","CDK2","0.142","0.858","1","low"
"hpc_22","CHEK1","0.151","0.849","1","low"
"hpc_27","CHEK1","0.134","0.866","1","low"
"hpc_20","CHEK1","0.133","0.867","1","low"
"hpc_16","CHEK1","0.082","0.918","1","low"
"hpc_15","CHEK1","0.167","0.833","1","low"
"hpc_1","CHEK1","0.134","0.866","1","low"
"hpc_8","CDK2","0.169","0.831","1","low"
"hpc_14","CHEK1","0.141","0.859","1","low"
"hpc_10","CHEK1","0.178","0.822","1","low"
"hpc_39","CDK1","0.102","0.898","1","low"
"hpc_37","CDK1","0.126","0.874","1","low"
"hpc_44","CDK1","0.116","0.884","1","low"
"hpc_41","CDK1","0.105","0.895","1","low"
"hpc_32","CDK1","0.115","0.885","1","low"
"hpc_27","CDK1","0.12","0.88","1","low"
"hpc_22","CDK1","0.138","0.862","1","low"
"hpc_31","CDK1","0.092","0.908","1","low"
"hpc_3","CDK1","0.114","0.886","1","low"
"hpc_7","CDK1","0.168","0.832","1","low"
"hpc_15","CDK2","0.144","0.856","1","low"
"hpc_14","CDK2","0.128","0.872","1","low"
"hpc_20","CDK2","0.131","0.869","1","low"
"hpc_16","CDK2","0.095","0.905","1","low"
"hpc_10","CDK2","0.152","0.848","1","low"
"hpc_9","CDK1","0.155","0.845","1","low"
"hpc_8","CDK1","0.124","0.876","1","low"
"hpc_1","CDK2","0.17","0.83","1","low"
"hpc_0","CDK2","0.142","0.858","1","low"
"hpc_37","MAPK8","0.153","0.847","1","low"
"hpc_32","MAPK8","0.168","0.832","1","low"
"hpc_41","MAPK8","0.112","0.888","1","low"
"hpc_39","MAPK8","0.134","0.866","1","low"
"hpc_27","MAPK8","0.13","0.87","1","low"
"hpc_22","MAPK8","0.106","0.894","1","low"
"hpc_31","MAPK8","0.119","0.881","1","low"
"hpc_3","MAPK8","0.12","0.88","1","low"
"hpc_44","MAPK8","0.144","0.856","1","low"
"hpc_14","PLK1","0.131","0.869","1","low"
"hpc_10","PLK1","0.154","0.846","1","low"
"hpc_16","PLK1","0.083","0.917","1","low"
"hpc_15","PLK1","0.168","0.832","1","low"
"hpc_9","MAPK8","0.23","0.77","1","low"
"hpc_8","MAPK8","0.146","0.854","1","low"
"hpc_1","PLK1","0.239","0.761","1","low"
"hpc_0","PLK1","0.257","0.743","1","low"
"hpc_41","MAPK14","0.114","0.886","1","low"
"hpc_39","MAPK14","0.13","0.87","1","low"
"hpc_7","MAPK14","0.251","0.749","1","low"
"hpc_44","MAPK14","0.118","0.882","1","low"
"hpc_31","MAPK14","0.107","0.893","1","low"
"hpc_3","MAPK14","0.128","0.872","1","low"
"hpc_37","MAPK14","0.141","0.859","1","low"
"hpc_32","MAPK14","0.148","0.852","1","low"
"hpc_8","MAPK14","0.166","0.834","1","low"
"hpc_16","MAPK8","0.075","0.925","1","low"
