"HPC","Feature","PIP","p_value","q_value","risk"
"hpc_27","MAPK1","0.107","0.893","1","high"
"hpc_22","MAPK1","0.091","0.909","1","high"
"hpc_31","MAPK1","0.117","0.883","1","high"
"hpc_3","MAPK1","0.107","0.893","1","high"
"hpc_16","MAPK1","0.073","0.927","1","high"
"hpc_15","MAPK1","0.089","0.911","1","high"
"hpc_21","MAPK1","0.104","0.896","1","high"
"hpc_20","MAPK1","0.092","0.908","1","high"
"hpc_14","MAP3K14","0.152","0.848","1","high"
"hpc_10","MAP3K14","0.286","0.714","1","high"
"hpc_16","MAP3K14","0.142","0.858","1","high"
"hpc_15","MAP3K14","0.136","0.864","1","high"
"hpc_9","LCK","0.931","0.069","1","high"
"hpc_8","LCK","0.319","0.681","1","high"
"hpc_1","MAP3K14","0.102","0.898","1","high"
"hpc_0","MAP3K14","0.121","0.879","1","high"
"hpc_20","MAP3K14","0.215","0.785","1","high"
"hpc_32","MAP3K14","0.146","0.854","1","high"
"hpc_31","MAP3K14","0.135","0.865","1","high"
"hpc_39","MAP3K14","0.149","0.851","1","high"
"hpc_37","MAP3K14","0.165","0.835","1","high"
"hpc_22","MAP3K14","0.129","0.871","1","high"
"hpc_21","MAP3K14","0.366","0.634","1","high"
"hpc_3","MAP3K14","0.155","0.845","1","high"
"hpc_27","MAP3K14","0.165","0.835","1","high"
