"HPC","Feature","PIP","p_value","q_value","risk"
"hpc_20","Trail","0.369","0.631","1","high"
"hpc_21","Trail","0.264","0.736","1","high"
"hpc_15","Trail","0.371","0.629","1","high"
"hpc_1","Trail","0.294","0.706","1","high"
"hpc_10","Trail","0.522","0.478","1","high"
"hpc_14","Trail","0.488","0.512","1","high"
"hpc_32","Trail","0.265","0.735","1","high"
"hpc_37","Trail","0.256","0.744","1","high"
"hpc_39","Trail","0.301","0.699","1","high"
"hpc_31","Trail","0.37","0.63","1","high"
"hpc_22","Trail","0.378","0.622","1","high"
"hpc_27","Trail","0.284","0.716","1","high"
"hpc_3","Trail","0.234","0.766","1","high"
"hpc_0","Trail","0.862","0.138","1","high"
"hpc_3","TNFa","0.153","0.847","1","high"
"hpc_31","TNFa","0.088","0.912","1","high"
"hpc_32","TNFa","0.17","0.83","1","high"
"hpc_27","TNFa","0.102","0.898","1","high"
"hpc_20","TNFa","0.351","0.649","1","high"
"hpc_21","TNFa","0.367","0.633","1","high"
"hpc_22","TNFa","0.125","0.875","1","high"
"hpc_7","TNFa","0.566","0.434","1","high"
"hpc_8","TNFa","0.257","0.743","1","high"
"hpc_9","TNFa","0.089","0.911","1","high"
"hpc_44","TNFa","0.141","0.859","1","high"
"hpc_37","TNFa","0.151","0.849","1","high"
"hpc_39","TNFa","0.176","0.824","1","high"
"hpc_41","TNFa","0.179","0.821","1","high"
