"HPC","Feature","PIP","p_value","q_value","risk"
"hpc_39","JAK-STAT","0.102","0.898","0.902837","low"
"hpc_14","MAPK","0.116","0.884","0.903358","low"
"hpc_8","Hypoxia","0.138","0.862","0.90397","low"
"hpc_39","Hypoxia","0.124","0.876","0.906765","low"
"hpc_22","MAPK","0.188","0.812","0.907625","low"
"hpc_31","JAK-STAT","0.101","0.899","0.908736","low"
"hpc_22","JAK-STAT","0.098","0.902","0.910126","low"
"hpc_15","NFkB","0.152","0.848","0.911478","low"
"hpc_41","JAK-STAT","0.091","0.909","0.912258","low"
"hpc_16","JAK-STAT","0.135","0.865","0.913962","low"
"hpc_9","Trail","0.366","0.634","0.915052","low"
"hpc_9","JAK-STAT","0.111","0.889","0.915147","low"
"hpc_37","Hypoxia","0.12","0.88","0.919403","low"
"hpc_14","TNFa","0.525","0.475","0.920415","low"
"hpc_27","NFkB","0.142","0.858","0.92046","low"
"hpc_32","Androgen","0.248","0.752","0.921488","low"
"hpc_0","NFkB","0.184","0.816","0.923152","low"
"hpc_27","Androgen","0.244","0.756","0.924367","low"
"hpc_21","NFkB","0.597","0.403","0.924918","high"
"hpc_3","Hypoxia","0.113","0.887","0.924991","low"
"hpc_15","JAK-STAT","0.117","0.883","0.92773","low"
"hpc_20","NFkB","0.14","0.86","0.927938","low"
"hpc_20","JAK-STAT","0.12","0.88","0.92806","low"
"hpc_0","JAK-STAT","0.123","0.877","0.928393","low"
"hpc_14","JAK-STAT","0.117","0.883","0.929474","low"
"hpc_21","JAK-STAT","0.098","0.902","0.930239","low"
"hpc_37","Androgen","0.232","0.768","0.930909","low"
"hpc_44","Hypoxia","0.103","0.897","0.931948","low"
"hpc_39","Hypoxia","0.564","0.436","0.935479","high"
"hpc_8","VEGF","0.32","0.68","0.935627","low"
"hpc_3","MAPK","0.152","0.848","0.936647","low"
"hpc_8","MAPK","0.168","0.832","0.937465","low"
"hpc_1","NFkB","0.169","0.831","0.938226","low"
"hpc_22","NFkB","0.12","0.88","0.938667","low"
