"HPC","Feature","PIP","p_value","q_value","risk"
"hpc_8","SPI1","0.312","0.688","1","high"
"hpc_44","SPI1","0.261","0.739","1","high"
"hpc_0","STAT1","0.793","0.207","1","high"
"hpc_9","SPI1","0.194","0.806","1","high"
"hpc_37","SPI1","0.268","0.732","1","high"
"hpc_32","SPI1","0.202","0.798","1","high"
"hpc_41","SPI1","0.381","0.619","1","high"
"hpc_39","SPI1","0.276","0.724","1","high"
"hpc_14","SPI1","0.347","0.653","1","high"
"hpc_31","SOX2","0.2","0.8","1","high"
"hpc_3","SOX2","0.262","0.738","1","high"
"hpc_37","SOX2","0.253","0.747","1","high"
"hpc_32","SOX2","0.157","0.843","1","high"
"hpc_21","SOX2","0.184","0.816","1","high"
"hpc_20","SOX2","0.222","0.778","1","high"
"hpc_27","SOX2","0.141","0.859","1","high"
"hpc_22","SOX2","0.225","0.775","1","high"
"hpc_9","SOX2","0.408","0.592","1","high"
"hpc_8","SOX2","0.271","0.729","1","high"
"hpc_10","SPI1","0.181","0.819","1","high"
"hpc_1","SPI1","0.318","0.682","1","high"
"hpc_41","SOX2","0.307","0.693","1","high"
"hpc_39","SOX2","0.17","0.83","1","high"
"hpc_7","SOX2","0.361","0.639","1","high"
"hpc_44","SOX2","0.153","0.847","1","high"
