"HPC","Feature","PIP","p_value","q_value","risk"
"hpc_41","ETS1","0.083","0.917","0.947454","low"
"hpc_21","HNF1A","0.077","0.923","0.951897","low"
"hpc_27","HNF4A","0.139","0.861","0.952885","low"
"hpc_15","TP53","0.304","0.696","0.952958","low"
"hpc_7","HNF1A","0.07","0.93","0.953846","low"
"hpc_32","HNF4A","0.139","0.861","0.954772","low"
"hpc_37","ETS1","0.086","0.914","0.954925","low"
"hpc_9","HNF1A","0.07","0.93","0.957353","low"
"hpc_3","ETS1","0.079","0.921","0.960447","low"
"hpc_22","HNF1A","0.048","0.952","0.960577","low"
"hpc_8","HNF4A","0.147","0.853","0.961127","low"
"hpc_20","HNF4A","0.134","0.866","0.964135","low"
"hpc_0","SPI1","0.487","0.513","0.967273","low"
"hpc_8","HNF1A","0.054","0.946","0.968483","low"
"hpc_31","HNF1A","0.04","0.96","0.970397","low"
"hpc_3","HNF1A","0.04","0.96","0.972152","low"
"hpc_10","HNF1A","0.083","0.917","0.974421","low"
"hpc_1","TP53","0.286","0.714","0.97522","low"
"hpc_22","HNF4A","0.126","0.874","0.976926","low"
"hpc_32","E2F4","0.156","0.844","0.98262","low"
"hpc_10","E2F4","0.139","0.861","0.986012","low"
"hpc_15","E2F4","0.14","0.86","0.988912","low"
"hpc_15","HNF1A","0.058","0.942","0.989719","low"
"hpc_37","E2F4","0.65","0.35","0.989899","high"
"hpc_3","HNF4A","0.103","0.897","0.990769","low"
"hpc_22","E2F4","0.155","0.845","0.992034","low"
"hpc_21","E2F4","0.156","0.844","0.992941","low"
"hpc_15","E2F1","0.163","0.837","0.995159","low"
"hpc_21","ETS1","0.206","0.794","0.996951","low"
"hpc_44","E2F1","0.086","0.914","1","low"
"hpc_9","HNF4A","0.087","0.913","1","low"
"hpc_14","E2F4","0.117","0.883","1","low"
"hpc_39","E2F1","0.166","0.834","1","low"
"hpc_16","ETS1","0.051","0.949","1","low"
"hpc_16","E2F4","0.106","0.894","1","low"
"hpc_37","E2F1","0.155","0.845","1","low"
"hpc_20","E2F4","0.116","0.884","1","low"
"hpc_41","E2F1","0.114","0.886","1","low"
"hpc_9","E2F4","0.197","0.803","1","low"
"hpc_8","E2F4","0.154","0.846","1","low"
"hpc_7","HNF4A","0.101","0.899","1","low"
"hpc_1","ETS1","0.044","0.956","1","low"
"hpc_39","E2F4","0.128","0.872","1","low"
"hpc_1","HNF1A","0.052","0.948","1","low"
"hpc_41","E2F4","0.131","0.869","1","low"
"hpc_0","ETS1","0.081","0.919","1","low"
"hpc_20","HNF1A","0.035","0.965","1","low"
"hpc_27","ETS1","0.094","0.906","1","low"
"hpc_22","ETS1","0.063","0.937","1","low"
"hpc_20","ETS1","0.078","0.922","1","low"
"hpc_0","HNF1A","0.016","0.984","1","low"
"hpc_10","ETS1","0.153","0.847","1","low"
"hpc_15","ETS1","0.101","0.899","1","low"
"hpc_37","HNF4A","0.08","0.92","1","low"
"hpc_31","HNF4A","0.083","0.917","1","low"
"hpc_21","HNF4A","0.068","0.932","1","low"
"hpc_7","E2F4","0.122","0.878","1","low"
"hpc_41","HNF4A","0.094","0.906","1","low"
"hpc_39","HNF4A","0.105","0.895","1","low"
"hpc_3","E2F4","0.129","0.871","1","low"
"hpc_31","E2F4","0.102","0.898","1","low"
"hpc_37","E2F4","0.12","0.88","1","low"
"hpc_16","HNF4A","0.069","0.931","1","low"
"hpc_44","E2F4","0.134","0.866","1","low"
"hpc_27","E2F4","0.13","0.87","1","low"
"hpc_9","STAT1","0.121","0.879","1","low"
"hpc_0","STAT2","0.084","0.916","1","low"
"hpc_1","STAT2","0.057","0.943","1","low"
"hpc_8","STAT1","0.08","0.92","1","low"
"hpc_41","STAT1","0.12","0.88","1","low"
"hpc_44","STAT1","0.106","0.894","1","low"
"hpc_7","STAT1","0.078","0.922","1","low"
"hpc_20","STAT2","0.253","0.747","1","low"
"hpc_21","STAT2","0.121","0.879","1","low"
"hpc_22","STAT2","0.128","0.872","1","low"
"hpc_16","STAT2","0.13","0.87","1","low"
"hpc_10","STAT2","0.125","0.875","1","low"
"hpc_14","STAT2","0.24","0.76","1","low"
"hpc_15","STAT2","0.159","0.841","1","low"
"hpc_16","STAT1","0.126","0.874","1","low"
"hpc_20","STAT1","0.091","0.909","1","low"
"hpc_21","STAT1","0.1","0.9","1","low"
"hpc_15","STAT1","0.104","0.896","1","low"
"hpc_1","STAT1","0.081","0.919","1","low"
"hpc_10","STAT1","0.093","0.907","1","low"
"hpc_14","STAT1","0.232","0.768","1","low"
"hpc_32","STAT1","0.107","0.893","1","low"
"hpc_37","STAT1","0.116","0.884","1","low"
"hpc_39","STAT1","0.106","0.894","1","low"
"hpc_31","STAT1","0.106","0.894","1","low"
"hpc_22","STAT1","0.106","0.894","1","low"
"hpc_27","STAT1","0.157","0.843","1","low"
"hpc_3","STAT1","0.069","0.931","1","low"
"hpc_27","STAT2","0.124","0.876","1","low"
"hpc_31","TP53","0.075","0.925","1","low"
"hpc_32","TP53","0.109","0.891","1","low"
"hpc_37","TP53","0.096","0.904","1","low"
"hpc_3","TP53","0.075","0.925","1","low"
"hpc_21","TP53","0.077","0.923","1","low"
"hpc_22","TP53","0.108","0.892","1","low"
"hpc_27","TP53","0.124","0.876","1","low"
"hpc_8","TP53","0.071","0.929","1","low"
"hpc_9","TP53","0.089","0.911","1","low"
"hpc_0","E2F1","0.121","0.879","1","high"
"hpc_7","TP53","0.108","0.892","1","low"
"hpc_39","TP53","0.125","0.875","1","low"
"hpc_41","TP53","0.105","0.895","1","low"
"hpc_44","TP53","0.086","0.914","1","low"
"hpc_39","STAT2","0.207","0.793","1","low"
"hpc_41","STAT2","0.151","0.849","1","low"
"hpc_44","STAT2","0.188","0.812","1","low"
"hpc_37","STAT2","0.199","0.801","1","low"
"hpc_3","STAT2","0.14","0.86","1","low"
"hpc_31","STAT2","0.13","0.87","1","low"
"hpc_32","STAT2","0.136","0.864","1","low"
"hpc_10","TP53","0.073","0.927","1","low"
"hpc_16","TP53","0.099","0.901","1","low"
"hpc_20","TP53","0.079","0.921","1","low"
"hpc_0","TP53","0.043","0.957","1","low"
"hpc_7","STAT2","0.274","0.726","1","low"
"hpc_8","STAT2","0.223","0.777","1","low"
"hpc_9","STAT2","0.205","0.795","1","low"
"hpc_0","SOX2","0.113","0.887","1","low"
"hpc_1","SOX2","0.146","0.854","1","low"
"hpc_14","SOX2","0.136","0.864","1","low"
"hpc_9","RFX5","0.09","0.91","1","low"
"hpc_44","RFX5","0.132","0.868","1","low"
"hpc_7","RFX5","0.122","0.878","1","low"
"hpc_8","RFX5","0.179","0.821","1","low"
"hpc_22","SOX2","0.095","0.905","1","low"
"hpc_27","SOX2","0.106","0.894","1","low"
"hpc_3","SOX2","0.118","0.882","1","low"
"hpc_21","SOX2","0.13","0.87","1","low"
"hpc_15","SOX2","0.34","0.66","1","low"
"hpc_16","SOX2","0.158","0.842","1","low"
"hpc_20","SOX2","0.16","0.84","1","low"
"hpc_16","RFX5","0.108","0.892","1","low"
"hpc_21","RFX5","0.141","0.859","1","low"
"hpc_22","RFX5","0.14","0.86","1","low"
"hpc_15","RFX5","0.234","0.766","1","low"
"hpc_0","RFX5","0.224","0.776","1","low"
"hpc_1","RFX5","0.083","0.917","1","low"
"hpc_10","RFX5","0.113","0.887","1","low"
"hpc_37","RFX5","0.135","0.865","1","low"
"hpc_39","RFX5","0.154","0.846","1","low"
"hpc_41","RFX5","0.163","0.837","1","low"
"hpc_32","RFX5","0.195","0.805","1","low"
"hpc_27","RFX5","0.164","0.836","1","low"
"hpc_3","RFX5","0.127","0.873","1","low"
"hpc_31","RFX5","0.153","0.847","1","low"
"hpc_31","SOX2","0.183","0.817","1","low"
"hpc_31","SPI1","0.197","0.803","1","low"
"hpc_32","SPI1","0.182","0.818","1","low"
"hpc_37","SPI1","0.164","0.836","1","low"
"hpc_3","SPI1","0.135","0.865","1","low"
"hpc_21","SPI1","0.145","0.855","1","low"
"hpc_22","SPI1","0.126","0.874","1","low"
"hpc_27","SPI1","0.186","0.814","1","low"
"hpc_8","SPI1","0.139","0.861","1","low"
"hpc_9","SPI1","0.123","0.877","1","low"
"hpc_0","STAT1","0.134","0.866","1","low"
"hpc_7","SPI1","0.1","0.9","1","low"
"hpc_39","SPI1","0.145","0.855","1","low"
"hpc_41","SPI1","0.14","0.86","1","low"
"hpc_44","SPI1","0.108","0.892","1","low"
"hpc_44","SOX2","0.3","0.7","1","low"
"hpc_7","SOX2","0.237","0.763","1","low"
"hpc_8","SOX2","0.185","0.815","1","low"
"hpc_41","SOX2","0.124","0.876","1","low"
"hpc_32","SOX2","0.23","0.77","1","low"
"hpc_37","SOX2","0.094","0.906","1","low"
"hpc_39","SOX2","0.138","0.862","1","low"
"hpc_15","SPI1","0.15","0.85","1","low"
"hpc_16","SPI1","0.218","0.782","1","low"
"hpc_20","SPI1","0.229","0.771","1","low"
"hpc_14","SPI1","0.296","0.704","1","low"
"hpc_9","SOX2","0.194","0.806","1","low"
"hpc_1","SPI1","0.102","0.898","1","low"
"hpc_10","SPI1","0.129","0.871","1","low"
"hpc_32","E2F1","0.165","0.835","1","low"
"hpc_16","HNF4A","0.093","0.907","1","high"
"hpc_15","HNF4A","0.233","0.767","1","high"
"hpc_21","HNF4A","0.139","0.861","1","high"
"hpc_20","HNF4A","0.135","0.865","1","high"
"hpc_1","HNF4A","0.491","0.509","1","high"
"hpc_0","HNF4A","0.048","0.952","1","high"
"hpc_14","HNF4A","0.163","0.837","1","high"
"hpc_10","HNF4A","0.095","0.905","1","high"
"hpc_37","HNF4A","0.145","0.855","1","high"
